label,4_u1_200_p(1)
time_s,envelope
0.038435374,1.202752
0.038548753,1.204195
0.038662132,1.205631
0.038775510,1.207060
0.038888889,1.208482
0.039002268,1.209897
0.039115646,1.211306
0.039229025,1.212708
0.039342404,1.214103
0.039455782,1.215492
0.039569161,1.216874
0.039682540,1.218250
0.039795918,1.219620
0.039909297,1.220983
0.040022676,1.222340
0.040136054,1.223691
0.040249433,1.225036
0.040362812,1.226374
0.040476190,1.227707
0.040589569,1.229033
0.040702948,1.230354
0.040816327,1.231669
0.040929705,1.232978
0.041043084,1.234282
0.041156463,1.235580
0.041269841,1.236872
0.041383220,1.238158
0.041496599,1.239440
0.041609977,1.240715
0.041723356,1.241986
0.041836735,1.243251
0.041950113,1.244510
0.042063492,1.245765
0.042176871,1.247015
0.042290249,1.248259
0.042403628,1.249498
0.042517007,1.250733
0.042630385,1.251963
0.042743764,1.253187
0.042857143,1.254407
0.042970522,1.255623
0.043083900,1.256833
0.043197279,1.258039
0.043310658,1.259241
0.043424036,1.260438
0.043537415,1.261630
0.043650794,1.262818
0.043764172,1.264002
0.043877551,1.265182
0.043990930,1.266357
0.044104308,1.267528
0.044217687,1.268695
0.044331066,1.269858
0.044444444,1.271017
0.044557823,1.272172
0.044671202,1.273324
0.044784580,1.274471
0.044897959,1.275615
0.045011338,1.276754
0.045124717,1.277890
0.045238095,1.279023
0.045351474,1.280152
0.045464853,1.281277
0.045578231,1.282399
0.045691610,1.283517
0.045804989,1.284632
0.045918367,1.285743
0.046031746,1.286851
0.046145125,1.287956
0.046258503,1.289057
0.046371882,1.290155
0.046485261,1.291250
0.046598639,1.292341
0.046712018,1.293429
0.046825397,1.294514
0.046938776,1.295596
0.047052154,1.296675
0.047165533,1.297750
0.047278912,1.298822
0.047392290,1.299891
0.047505669,1.300957
0.047619048,1.302020
0.047732426,1.303080
0.047845805,1.304136
0.047959184,1.305190
0.048072562,1.306240
0.048185941,1.307287
0.048299320,1.308331
0.048412698,1.309372
0.048526077,1.310410
0.048639456,1.311444
0.048752834,1.312476
0.048866213,1.313504
0.048979592,1.314529
0.049092971,1.315550
0.049206349,1.316569
0.049319728,1.317585
0.049433107,1.318597
0.049546485,1.319606
0.049659864,1.320611
0.049773243,1.321614
0.049886621,1.322613
0.050000000,1.323608
0.050113379,1.324601
0.050226757,1.325590
0.050340136,1.326575
0.050453515,1.327558
0.050566893,1.328536
0.050680272,1.329511
0.050793651,1.330483
0.050907029,1.331451
0.051020408,1.332415
0.051133787,1.333376
0.051247166,1.334333
0.051360544,1.335286
0.051473923,1.336236
0.051587302,1.337181
0.051700680,1.338123
0.051814059,1.339061
0.051927438,1.339995
0.052040816,1.340925
0.052154195,1.341851
0.052267574,1.342773
0.052380952,1.343690
0.052494331,1.344604
0.052607710,1.345513
0.052721088,1.346418
0.052834467,1.347319
0.052947846,1.348215
0.053061224,1.349107
0.053174603,1.349994
0.053287982,1.350876
0.053401361,1.351754
0.053514739,1.352628
0.053628118,1.353496
0.053741497,1.354359
0.053854875,1.355218
0.053968254,1.356072
0.054081633,1.356920
0.054195011,1.357764
0.054308390,1.358602
0.054421769,1.359436
0.054535147,1.360263
0.054648526,1.361086
0.054761905,1.361903
0.054875283,1.362715
0.054988662,1.363521
0.055102041,1.364321
0.055215420,1.365116
0.055328798,1.365905
0.055442177,1.366688
0.055555556,1.367465
0.055668934,1.368236
0.055782313,1.369001
0.055895692,1.369759
0.056009070,1.370512
0.056122449,1.371258
0.056235828,1.371997
0.056349206,1.372730
0.056462585,1.373457
0.056575964,1.374177
0.056689342,1.374889
0.056802721,1.375595
0.056916100,1.376294
0.057029478,1.376986
0.057142857,1.377671
0.057256236,1.378348
0.057369615,1.379018
0.057482993,1.379681
