label,4_u1_200_p(1)
time_s,envelope_detrended
0.068934240,0.172524
0.069047619,0.173159
0.069160998,0.173791
0.069274376,0.174423
0.069387755,0.175053
0.069501134,0.175683
0.069614512,0.176310
0.069727891,0.176937
0.069841270,0.177562
0.069954649,0.178186
0.070068027,0.178809
0.070181406,0.179430
0.070294785,0.180050
0.070408163,0.180669
0.070521542,0.181286
0.070634921,0.181901
0.070748299,0.182515
0.070861678,0.183128
0.070975057,0.183739
0.071088435,0.184348
0.071201814,0.184955
0.071315193,0.185561
0.071428571,0.186166
0.071541950,0.186768
0.071655329,0.187369
0.071768707,0.187967
0.071882086,0.188564
0.071995465,0.189159
0.072108844,0.189752
0.072222222,0.190343
0.072335601,0.190932
0.072448980,0.191518
0.072562358,0.192103
0.072675737,0.192685
0.072789116,0.193265
0.072902494,0.193842
0.073015873,0.194417
0.073129252,0.194990
0.073242630,0.195560
0.073356009,0.196128
0.073469388,0.196693
0.073582766,0.197255
0.073696145,0.197814
0.073809524,0.198371
0.073922902,0.198924
0.074036281,0.199475
0.074149660,0.200022
0.074263039,0.200566
0.074376417,0.201107
0.074489796,0.201645
0.074603175,0.202179
0.074716553,0.202710
0.074829932,0.203237
0.074943311,0.203760
0.075056689,0.204280
0.075170068,0.204795
0.075283447,0.205307
0.075396825,0.205815
0.075510204,0.206319
0.075623583,0.206818
0.075736961,0.207314
0.075850340,0.207804
0.075963719,0.208291
0.076077098,0.208773
0.076190476,0.209250
0.076303855,0.209722
0.076417234,0.210190
0.076530612,0.210653
0.076643991,0.211110
0.076757370,0.211563
0.076870748,0.212011
0.076984127,0.212453
0.077097506,0.212890
0.077210884,0.213321
0.077324263,0.213747
0.077437642,0.214168
0.077551020,0.214583
0.077664399,0.214992
0.077777778,0.215395
0.077891156,0.215792
0.078004535,0.216184
0.078117914,0.216569
0.078231293,0.216948
0.078344671,0.217321
0.078458050,0.217687
0.078571429,0.218047
0.078684807,0.218400
0.078798186,0.218747
0.078911565,0.219086
0.079024943,0.219419
0.079138322,0.219745
0.079251701,0.220064
0.079365079,0.220376
0.079478458,0.220680
0.079591837,0.220977
0.079705215,0.221266
0.079818594,0.221548
0.079931973,0.221822
0.080045351,0.222089
0.080158730,0.222347
0.080272109,0.222598
0.080385488,0.222840
0.080498866,0.223074
0.080612245,0.223300
0.080725624,0.223517
0.080839002,0.223726
0.080952381,0.223926
0.081065760,0.224118
0.081179138,0.224301
0.081292517,0.224475
0.081405896,0.224640
0.081519274,0.224796
